,time,dong,pop,m0,m70,f0,f70,m10,m20,m30,m40,m50,m60,f10,f20,f30,f40,f50,f60
95,0,11260540,16523.9139,630.242,869.0405,458.6921,1363.3084000000001,526.1532,786.1442,1162.4601,1487.5633,1287.8394,911.2378,511.6257,995.9844,1381.6853,1252.4364,1284.3808,1139.6742
96,0,11260550,12600.0368,351.1892,602.7825,490.45680000000004,930.0202,480.596,550.7972,998.2263,1093.8714,1017.3612,748.1331,469.5511,662.9863,1093.2585,974.5700999999999,1063.8613,729.8099
97,0,11260565,30312.5831,645.4887,1269.8015,593.5690999999999,2265.9126,870.1401,2090.9441,2807.0842,2136.7669,2571.8214,1532.0715,818.0429,2363.7626,2764.454,2142.0657,2785.0775,2012.907
98,0,11260570,17403.7657,679.4295,950.3681,431.3934,1538.3454,552.862,877.6611,1379.1953,1333.9402,1347.3858,1090.317,431.5899,1085.7687,1382.6531,1238.8009,1453.1158,1252.1122
99,0,11260575,20888.4836,400.1787,1072.0208,448.8129,1570.6491,522.9664,1490.2989,1742.2901,1759.2295,1600.1951,1150.5124,529.8864,1658.2609,1671.5418,1477.5802,1632.2693,1429.0743
100,0,11260580,15738.1159,634.0822000000001,764.8783999999999,322.3303,1090.6118,614.1764,756.6185,1188.011,1364.6947,1043.7485,872.3516,523.1407,961.0768,1342.7663,1199.8754,1348.7895,1135.9274
101,0,11260590,26018.4773,532.6581,803.9913,427.88669999999996,1428.5238,614.791,2618.8654,2871.653,1902.6025,1817.1279,1099.8807,472.65250000000003,3416.3547,3068.9421,1752.7941999999998,1621.4521,1304.1071
102,0,11260600,18217.4974,808.282,892.6815,663.4262,1519.5040000000001,668.7623,989.5034,1407.7869,1387.093,1227.6616999999999,1003.048,582.1933,1083.8038,1550.2064,1291.3245,1459.3258,1327.2094
103,0,11260610,26052.7864,762.0923,1413.705,625.1285,2060.9872,820.1610000000001,1651.1062,1958.4846,1961.407,2223.8163,1734.2719,560.351,1831.1504,2077.3152,1801.7379,2233.4674,1932.1624
104,0,11260620,27732.997,1015.3135,1451.5091,963.0034,2168.6234,1177.4329,1450.4406,1950.2438,2182.9162,1976.9724,1287.1797,1087.7235,2037.6037000000001,2186.471,2071.7928,2281.1262,1909.8456
105,0,11260630,18933.3055,731.7846,798.1928,459.1824,1377.494,734.9062,1201.3345,1511.6813,1531.3353,1418.4016,1015.6283,556.5262,1579.7365,1433.243,1380.5735,1709.7264,1276.7536
106,0,11260655,42355.3486,1668.3613,1976.5088,1484.8053,2918.2397,1578.7105999999999,2178.5113,3407.4946,3570.3087,3005.8155,2151.1657,1603.4626,2789.4714,3726.8313,3697.0374,3173.6256,2712.3838
107,0,11260660,12383.3607,270.585,622.8905,206.0581,1061.686,307.3981,708.58,927.0816,914.525,1050.8769,895.4457,292.1735,856.6284,856.118,867.3003,1233.0431,943.4288
108,0,11260680,35650.855,2200.4009,1537.3464000000001,1952.6509,2375.3515,1788.5638,1664.29,2285.042,2625.9472,2429.0405,1815.358,1709.1028,1846.076,2826.3593,2698.7561,2890.406,2313.2604
109,0,11260690,16128.261,556.1154,1031.3327,532.3745,1327.0199,756.9549,659.5355,1042.6086,1173.4549,1184.5486,978.6105,660.5787,850.734,1205.7958,1261.666,1390.7146,1257.9526
110,0,11290525,20128.8062,574.7278,855.1822999999999,485.0141,1452.3336,867.8502,1325.4778000000001,1453.4335,1496.3691,1389.3789,1062.7081,799.5698,1658.5504,1619.1942999999999,1812.5025,1803.0773000000002,1256.3979
111,0,11290555,25259.6882,689.1876,884.4161,481.7561,1376.2109,1070.9021,2433.5264,1568.3461,2037.6412,1875.8877,961.9593,1048.7581,3291.9396,2031.8262,1872.1381999999999,1972.6517999999999,1201.3561
112,0,11290575,23558.0929,453.5935,717.7424,438.88820000000004,1186.2956,829.9079,2613.609,1710.8924,1410.5443,1367.9411,685.1432,1117.1461,4895.8861,1839.2777,1663.9653,1491.3107,863.1274
113,0,11290580,12415.310800000001,290.217,747.0606,333.0933,1296.0926,514.2719,575.1652,759.2407000000001,839.8352,1008.3923,721.7658,499.3884,787.2111,835.5231,867.6628,1150.6447,912.7362
114,0,11290590,16847.5576,733.4567,661.8931,719.5915,1118.5463,971.2587,796.8821,900.797,1300.4539,1272.601,745.2305,940.9897,1045.95,1253.0372,1503.4269,1571.6678,973.0935
115,0,11290600,21373.0494,201.1698,617.4386,214.1418,942.6256,884.5633,4559.6777,1304.2589,968.6809,1067.9446,640.9885,888.4153,4754.4995,1279.7350999999999,950.4603999999999,989.2618,772.2948
